grade,subject,lo_code,lo_description,pct_correct
Grade 5,EVS,E 402,"Identify various characteristics of animals and birds (such as teeth, claws, wings, ears, etc.).",60.9
Grade 5,EVS,E 405,"Describe the various skills involved in daily life (such as farming, hunting, weaving, and handicrafts) along with the importance of training (the role of programs) in enhancing these skills.",81.9
Grade 5,EVS,E 407,"Identify and differentiate between various items related to past and present (such as transportation, goods, homes, materials, tools, skills, agriculture, etc.) and provide insights regarding their origins.",74.7
Grade 5,EVS,E 408,"Identify specific characteristics, such as shape (head, limbs, teeth, skin surface), habitat (whether domesticated or wild), fruits, vegetables, and spices, along with their life cycles, uses (such as for food, medicine, decoration, etc.), and sensory attributes (such as smell, taste, preferences).",82.5
Grade 5,EVS,E 409,"Identify situations related to various events, including estimating conditions (distance, weight, time duration) and using regional units of measurement (like yards, feet, miles) while establishing relationships between various causes and effects through simple techniques (examples - condensation, evaporation, separation, etc.) related to the lifespan of flowers, fruits, and other natural resources.",62.5
Grade 5,EVS,E 415,"Propose various methods related to health, reducing waste, recycling, and sustaining living resources (plants, animals, elderly individuals, people with disabilities) along with community resources (food, water, and public relations).",50.0
Grade 5,EVS,E 501,"Discuss the remarkable and extraordinary sensory abilities of animals (such as vision, smell, taste, touch, sound, etc.) and describe the reactions of different organisms to stimuli such as sound, light, taste, etc.",48.0
Grade 5,EVS,E 502,"Present various methods of human livelihood and the necessary resources of food and water; the processes include the production of materials from agriculture, preparation of various dishes, preservation of different foods, exploration, and protection of water sources.",69.5
Grade 5,EVS,E 503,"Discuss the interdependence among animals, plants, and humans (for example – livestock management, fodder cultivation, etc.).",68.1
Grade 5,EVS,E 504,"Describe the roles and significance of various institutions related to human livelihood (such as banks, panchayats, cooperatives, police stations, etc.).",63.5
Grade 5,EVS,E 512,"Discuss complex issues faced by society, such as discrimination, expulsion, and children's rights; provide insights into traditions and events related to these matters.",56.9
Grade 5,English,EN 407,Infers the meaning of unfamiliar words by reading them in contexts.,66.7
Grade 5,English,EN 508,"Reads texts with comprehension, locates details and sequence of events.",64.0
Grade 5,Maths,M 401,Demonstrate mathematical operations used in daily life.,82.1
Grade 5,Maths,M 403,"Create and solve simple, real-life problems related to money, le...",78.1
Grade 5,Maths,M 405,"Use symbols to denote fractional parts like one-half, one-fourth...",77.8
Grade 5,Maths,M 407,"Understand and identify characteristics of four-sided shapes, in...",76.6
Grade 5,Maths,M 415,"Solve real-life problems involving distance, weight, volume, and...",63.7
Grade 5,Maths,M 417,Relate 24-hour time format to the 12-hour time format.,63.4
Grade 5,Maths,M 419,Recognize the structure of multiplication and division up to the...,82.9
Grade 5,Maths,M 420,"Understand, identify, and extend geometric patterns based on sym...",82.0
Grade 5,Maths,M 421,Present collected data in tables or bar graph and analyze patterns.,61.5
Grade 5,Maths,M 504,"Estimate the sum, difference, product, and quotient of significa...",53.0
Grade 5,Maths,M 508,Convert decimals into fractions and vice versa.,72.6
Grade 5,Maths,M 509,Understand the concepts of angles and shapes. Clasify angles int...,72.5
Grade 5,Maths,M 512,"Establish relationships between measurement, weight, and volume ...",55.0
Grade 5,Odia,OD 405,"Understand various types of materials (e.g., main articles in newspapers, children magazines, etc.), analyze important social and other relevant topics, and discuss them.",64.5
Grade 5,Odia,OD 407,"Read other materials alongside your textbook (such as children literature, main news articles, magazines, posters, etc.) and gain an understanding of them.",83.5
Grade 5,Odia,OD 408,Recognize and understand new vocabulary that comes from different types of content and utilize it appropriately.,68.1
Grade 5,Odia,OD 413,Use vocabulary contextually by understanding word meanings based on specific topics and applying words meaningfully.,69.0
Grade 5,Odia,OD 507,Explain the meanings of unfamiliar words from word lists,81.7
Grade 5,Odia,OD 512,"Utilize vocabulary relevant to different subjects (such as mathematics, science, social studies, dance, medicine, etc.) to enhance communication and incorporate these terms into writing.",54.7
Grade 8,English,EN 709,"Identifies characters, main ideas and sequence of ideas and events in textual / non textual material",60.2
Grade 8,English,EN 710,"Compare between characters, events, ideas, themes and correlates them to their own life.",46.0
Grade 8,English,EN 711,"Reads to seek information in print /online, notice board, sign boards in public places, newspapers, hoardings etc.",60.7
Grade 8,English,EN 713,Infers the meaning of unfamiliar words by reading them in context and enriches vocabulary.,60.5
Grade 8,English,EN 716,"Uses appropriate grammatical forms in communication (noun/ pronoun / verb/ determiner,time and tense/ passivisation/ adjective, adverb, tense.)",60.3
Grade 8,English,OD 808,"Read various types of materials (such as stories, poems, articles, and essays) and analyze, infer, and present the facts.",52.5
Grade 8,English,OD 810,"Analyze the words, phrases, and narratives found in various reading materials.",55.6
Grade 8,English,OD 811,"Identify different styles of writing while reading stories, poems, etc. (for example, narrative, descriptive, and emotive styles).",52.1
Grade 8,Maths,M 705,Solve life problems based on the ratio of the parts.,72.2
Grade 8,Maths,M 708,Formulate simple equations for life events in two-part ratios an...,71.1
Grade 8,Maths,M 710,Solve problems related to converting mixed ratios into simple ra...,57.4
Grade 8,Maths,M 711,Determine the profit and loss in simple interest calculations us...,54.5
Grade 8,Maths,M 712,Analyze various types of shops based on specific parameters such...,59.8
Grade 8,Maths,M 714,Calculate the volume of a product from the two ends of a triangu...,49.7
Grade 8,Maths,M 715,Understand the characteristics of triangles based on given condi...,52.8
Grade 8,Maths,M 717,Use graph paper or grid paper to determine the area of shapes de...,65.5
Grade 8,Maths,M 721,"Analyze data from the column chart, comparing seasonal strengths...",37.5
Grade 8,Maths,M 801,"Conduct an analysis of the basic concepts of permutation, combin...",58.8
Grade 8,Maths,M 803,"Using the divisibility rules for 2, 3, 4, 5, 6, 9, and 11, deter...",82.8
Grade 8,Maths,M 804,"Determine the factors, prime factors, cube, and cube roots of th...",85.2
Grade 8,Maths,M 811,Solve problems using the measurement formulas of various shapes.,76.0
Grade 8,Odia,EN 811,"Interprets quotations, sayings and proverb etc.",78.8
Grade 8,Odia,EN 812,Reads textual/non-textual materials in Language/ Braille with comprehension.,79.0
Grade 8,Odia,OD 702,"While reading any text, understand the author’s viewpoint and express its similarities and dissimilarities based on your own experiences.",73.5
Grade 8,Odia,OD 707,"Reflect on your personal reactions to various local, social, and natural events, for example - Why is there greenery around during the rainy season?",76.0
Grade 8,Odia,OD 709,"By studying a subject, comprehend the concepts that may exist within it.",58.7
Grade 8,Odia,OD 711,"Identify various forms and styles of storytelling and poetry, including - narrative, emotional, and nature depiction.",49.9
Grade 8,Odia,OD 716,"Read various types of materials in the Odia language (including newspapers, magazines, stories, and internet publications) to understand and write your preferences, comments, and expressions in the language or in braille",40.2
Grade 8,Odia,OD 718,"Use appropriate vocabulary, sentence structure, dialogue, punctuation, and other grammatical aspects (like tense, verbs, subjects) while writing for various topics and purposes.",58.7
Grade 8,Odia,OD 806,Use correct grammar in framing sentences in Language use appropriate word to frame sentences,86.8
Grade 8,SST,SST 701,"Identify the various layers of the Earth's atmosphere, types of ...",71.3
Grade 8,SST,SST 703,Describe the various environmental protection measures related t...,62.4
Grade 8,SST,SST 705,Describe the composition and structure of the atmosphere.,62.8
Grade 8,SST,SST 706,Explain the interactions among various elements and phenomena in...,66.1
Grade 8,SST,SST 708,Discuss the factors affecting biodiversity in flora and fauna (s...,79.4
Grade 8,SST,SST 712,Examine the factors affecting the development of regions in the ...,62.1
Grade 8,SST,SST 715,Discuss the livelihood and living conditions of populations resi...,68.2
Grade 8,SST,SST 717,Examine the governance systems established by various empires su...,38.8
Grade 8,SST,SST 718,Compare the policies of different rulers.,60.6
Grade 8,SST,SST 720,Analyze the causes of the emergence of new religious ideas and m...,54.2
Grade 8,SST,SST 722,Discuss the significance of equality in a democracy.,69.3
Grade 8,SST,SST 802,"Explain about the main crops, different types of farming, and va...",58.5
Grade 8,SST,SST 810,Show how the Modern age is different from the Middle ages and An...,61.9
Grade 8,SST,SST 816,"Analyze the reasons for the decline of existing city centres, ha...",46.2
Grade 8,SST,SST 825,Explain the election process of the Lok Sabha.,69.2
Grade 8,SST,SST 829,Analyze the causes and consequences of specific group formation ...,59.6
Grade 8,SST,SST 832,Explain the working of the Indian judicial system by giving exam...,42.7
Grade 8,SST,SST 833,Explain the role of government in regulating economic activities.,57.0
Grade 8,Science,SCI 703,"This section involves the classification of materials and organisms based on their qualities. For example, it includes animal and plant tissues, physical and chemical changes.",51.6
Grade 8,Science,SCI 705,"This involves relating processes and events to their causes. Examples include the relationship between wind speed and air pressure, various soil types and crop production, and the impact of groundwater depletion on human activities.",53.4
Grade 8,Science,SCI 707,"This section deals with the application of chemical reactions. Examples include acid-base reactions, rusting, and identification methods.",65.8
Grade 8,Science,SCI 709,"This involves creating and interpreting diagrams, such as anatomical diagrams of humans and plants, as well as preparation for experiments.",45.3
Grade 8,Science,SCI 712,Discussing the story of scientific discoveries and selecting important ones.,55.1
Grade 8,Science,SCI 713,"Understanding concepts related to environmental science, such as countering acidity in soil, conducting soil tests, and finding ways to prevent soil erosion.",74.2
Grade 8,Science,SCI 714,"Efforts will be made towards environmental protection, such as maintaining cleanliness in general places, reducing pollution-causing substances, and tree plantation to prevent soil erosion.",73.3
Grade 8,Science,SCI 716,"Discussions will cover sustainability, resource conservation, cooperation, and overcoming fear and superstition.",47.1
Grade 8,Science,SCI 801,"Show the difference between material and living things (such as natural and man-made fibres, contact and non-contact forces, liquids as poor and good conductors of electricity, animal cells and plant cells, animal and non-edd producing organisms), etc, based on their properties, structure characteristics and functionality.",63.0
Grade 8,Science,SCI 802,"Materials and living things will be classified based on their properties, for example - metals and non-metals, kharif and rabi crops, beneficial and harmful microorganisms, sexual and asexual reproduction, cosmic objects and non-renewable natural resources.",69.3
Grade 8,Science,SCI 805,"Explain processes and phenomena - reproduction of humans and animals, creation and transmission of sound, chemical effects of electric current, formation of multiple images, formation of flames, etc.",61.8
Grade 8,Science,SCI 807,Measure the angle of incidence and angle of reflection,50.8
Grade 8,Science,SCI 811,"Apply the learning of scientific concepts to daily life, eg., - purifying water, separating biodegradable and non-biodegradable materials, increasing crop productivity, using appropriate metals and alloys for different purposes, increasing/ decreasing friction, and overcoming misconceptions and misconceptions related to puberty.",66.7
