block,grade,subject,q_no,pct_chose_wrong,wrong_option,correct_option,question,why_it_matters
Anugola,Grade 5,EVS,12,55,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Anugola,Grade 8,Science,5,43,D,A,ଜଣେ ଛାତ୍ର ଏକ ପରୀକ୍ଷଣ ବ୍ୟବହାର କରି ଯାଞ୍ଚ କରିବାକୁ ଚାହାଁନ୍ତି ଯେ ଏକ ସବୁଜ ପତ୍ର କ୍ଲୋରୋଫିଲ୍ ସାହାଯ୍ୟରେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରିଛି କି ନାହିଁ । କେଉଁଟି ସୋପାନଗୁଡ଼ିକର ସଠିକ୍ କ୍ରମ ଅଟେ?,"Children picked 'keep it in sunlight', confusing the plant's need for light with the starch-test procedure, which begins by boiling the leaf."
Anugola,Grade 8,Odia,12,46,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Anugola,Grade 8,Science,14,43,A,B,ନିମ୍ନରେ ଥିବା ଦୂରତା-ସମୟ ଗ୍ରାଫ୍ ଜଣେ ସାଇକେଲ ଚାଳକଙ୍କ ଗତିକୁ ଦର୍ଶାଏ । 4 ରୁ 6 ସେକେଣ୍ଡ ମଧ୍ୟରେ ସମତଳ ଭୂସମାନ୍ତର ରେଖା କ'ଣ ପ୍ରତିନିଧିତ୍ୱ କରେ?,A flat line on a distance-time graph was read as 'moving at a steady speed'. A flat line there means the cyclist has stopped.
Anugola,Grade 8,Odia,8,43,B,A,“କଲମର କାହାଣୀ” ଅନୁଛେଦ ଦ୍ୱାରା ମାନବ ପ୍ରଗତି ବିଷୟରେ କେଉଁ ବିଶାଳ ଧାରଣାକୁ ଉଦ୍ଧାର କରାଯାଇଛି?,"Children picked an absolute statement (new technology fully replaces the old) over the passage's nuanced idea that steady, ongoing innovation keeps improving life."
Anugola,Grade 8,SST,4,39,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Anugola,Grade 8,Odia,14,42,C,B,"ଲେଖା ଆଧାରରେ, ସବୁଠାରୁ ଯୁକ୍ତିସଙ୍ଗତ ମତ କେଉଁଟି?","Children chose a general fairness statement over the inference the passage supports, that protected forest area stays too low even as forest cover rises."
Anugola,Grade 8,English,12,34,B,C,Which home action best mirrors banning old polluting vehicles?,"Children chose a generally 'green' action rather than the true parallel to scrapping old polluting vehicles, which is replacing old devices with energy-saving ones."
Anugola,Grade 8,English,6,43,A,B,Where does a sea turtle begin its life?,Children think a sea turtle's life begins in the ocean; it actually hatches on the beach. A read-from-text slip.
Athamalik,Grade 5,EVS,12,53,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Athamalik,Grade 8,SST,4,41,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Athamalik,Grade 8,Odia,8,44,B,A,“କଲମର କାହାଣୀ” ଅନୁଛେଦ ଦ୍ୱାରା ମାନବ ପ୍ରଗତି ବିଷୟରେ କେଉଁ ବିଶାଳ ଧାରଣାକୁ ଉଦ୍ଧାର କରାଯାଇଛି?,"Children picked an absolute statement (new technology fully replaces the old) over the passage's nuanced idea that steady, ongoing innovation keeps improving life."
Athamalik,Grade 8,Odia,12,40,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Athamalik,Grade 8,Science,5,39,D,A,ଜଣେ ଛାତ୍ର ଏକ ପରୀକ୍ଷଣ ବ୍ୟବହାର କରି ଯାଞ୍ଚ କରିବାକୁ ଚାହାଁନ୍ତି ଯେ ଏକ ସବୁଜ ପତ୍ର କ୍ଲୋରୋଫିଲ୍ ସାହାଯ୍ୟରେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରିଛି କି ନାହିଁ । କେଉଁଟି ସୋପାନଗୁଡ଼ିକର ସଠିକ୍ କ୍ରମ ଅଟେ?,"Children picked 'keep it in sunlight', confusing the plant's need for light with the starch-test procedure, which begins by boiling the leaf."
Banarpal,Grade 5,EVS,12,61,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Banarpal,Grade 8,Odia,12,57,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Banarpal,Grade 8,Science,5,44,D,A,ଜଣେ ଛାତ୍ର ଏକ ପରୀକ୍ଷଣ ବ୍ୟବହାର କରି ଯାଞ୍ଚ କରିବାକୁ ଚାହାଁନ୍ତି ଯେ ଏକ ସବୁଜ ପତ୍ର କ୍ଲୋରୋଫିଲ୍ ସାହାଯ୍ୟରେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରିଛି କି ନାହିଁ । କେଉଁଟି ସୋପାନଗୁଡ଼ିକର ସଠିକ୍ କ୍ରମ ଅଟେ?,"Children picked 'keep it in sunlight', confusing the plant's need for light with the starch-test procedure, which begins by boiling the leaf."
Banarpal,Grade 8,Maths,2,31,B,A,"ଜଣେ ଶିକ୍ଷକଙ୍କର ୫ ଟି ଭିନ୍ନ ଭିନ୍ନ କାର୍ଡ ଅଛି: ♠ A, ♠2, ♠3, ♠4, ଏବଂ ♠5 ନିମ୍ନରେ ଦର୍ଶାଯାଇଛି । ସେ ବୋର୍ଡରେ ଗୋଟିଏ ଧାଡିରେ ଏହି କାର୍ଡଗୁଡ଼ିକ ମଧ୍ୟରୁ ୩ ଟି ସଜାଇବାକୁ ଚାହୁଁଛନ୍ତି। କେତୋଟି ଭିନ୍ନ ବ୍ୟବସ୍ଥା ସମ୍ଭବ ହେବ?","Children counted combinations instead of permutations, ignoring that the order of the cards matters."
Banarpal,Grade 8,Odia,8,44,B,A,“କଲମର କାହାଣୀ” ଅନୁଛେଦ ଦ୍ୱାରା ମାନବ ପ୍ରଗତି ବିଷୟରେ କେଉଁ ବିଶାଳ ଧାରଣାକୁ ଉଦ୍ଧାର କରାଯାଇଛି?,"Children picked an absolute statement (new technology fully replaces the old) over the passage's nuanced idea that steady, ongoing innovation keeps improving life."
Banarpal,Grade 8,Odia,14,43,C,B,"ଲେଖା ଆଧାରରେ, ସବୁଠାରୁ ଯୁକ୍ତିସଙ୍ଗତ ମତ କେଉଁଟି?","Children chose a general fairness statement over the inference the passage supports, that protected forest area stays too low even as forest cover rises."
Banarpal,Grade 8,SST,4,33,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Banarpal,Grade 8,Science,14,35,A,B,ନିମ୍ନରେ ଥିବା ଦୂରତା-ସମୟ ଗ୍ରାଫ୍ ଜଣେ ସାଇକେଲ ଚାଳକଙ୍କ ଗତିକୁ ଦର୍ଶାଏ । 4 ରୁ 6 ସେକେଣ୍ଡ ମଧ୍ୟରେ ସମତଳ ଭୂସମାନ୍ତର ରେଖା କ'ଣ ପ୍ରତିନିଧିତ୍ୱ କରେ?,A flat line on a distance-time graph was read as 'moving at a steady speed'. A flat line there means the cyclist has stopped.
Chhendipada,Grade 8,Odia,12,59,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Chhendipada,Grade 5,EVS,12,58,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Chhendipada,Grade 8,SST,4,49,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Chhendipada,Grade 8,Science,14,40,A,B,ନିମ୍ନରେ ଥିବା ଦୂରତା-ସମୟ ଗ୍ରାଫ୍ ଜଣେ ସାଇକେଲ ଚାଳକଙ୍କ ଗତିକୁ ଦର୍ଶାଏ । 4 ରୁ 6 ସେକେଣ୍ଡ ମଧ୍ୟରେ ସମତଳ ଭୂସମାନ୍ତର ରେଖା କ'ଣ ପ୍ରତିନିଧିତ୍ୱ କରେ?,A flat line on a distance-time graph was read as 'moving at a steady speed'. A flat line there means the cyclist has stopped.
Chhendipada,Grade 8,Science,5,41,D,A,ଜଣେ ଛାତ୍ର ଏକ ପରୀକ୍ଷଣ ବ୍ୟବହାର କରି ଯାଞ୍ଚ କରିବାକୁ ଚାହାଁନ୍ତି ଯେ ଏକ ସବୁଜ ପତ୍ର କ୍ଲୋରୋଫିଲ୍ ସାହାଯ୍ୟରେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରିଛି କି ନାହିଁ । କେଉଁଟି ସୋପାନଗୁଡ଼ିକର ସଠିକ୍ କ୍ରମ ଅଟେ?,"Children picked 'keep it in sunlight', confusing the plant's need for light with the starch-test procedure, which begins by boiling the leaf."
Chhendipada,Grade 8,Odia,8,37,B,A,“କଲମର କାହାଣୀ” ଅନୁଛେଦ ଦ୍ୱାରା ମାନବ ପ୍ରଗତି ବିଷୟରେ କେଉଁ ବିଶାଳ ଧାରଣାକୁ ଉଦ୍ଧାର କରାଯାଇଛି?,"Children picked an absolute statement (new technology fully replaces the old) over the passage's nuanced idea that steady, ongoing innovation keeps improving life."
Chhendipada,Grade 8,Odia,13,44,C,D,ଏହି ଅନୁଛେଦର ଲେଖନ ଶୈଳୀ କେଉଁଟି?,Children labelled an informative (expository) passage as nature-description. Identifying the type of writing is the gap.
Chhendipada,Grade 8,Maths,10,45,B,A,"ଜଣେ ଚିତ୍ରକାର ୪ ଲିଟର ଧଳା ରଙ୍ଗ, ୨.୫ ଲିଟର ଲାଲ୍ ରଙ୍ଗ ଏବଂ ୫୦୦ ମିଲିଲିଟର ନୀଳ ରଙ୍ଗ ମିଶ୍ରଣ କରନ୍ତି । ଏହି ରଙ୍ଗ ମିଶ୍ରଣ ପାଇଁ ସବୁଠାରୁ ସରଳ ଅନୁପାତ କ'ଣ?",Children wrote the raw amounts as the ratio (4:2.5:0.5) instead of converting to one unit and simplifying to whole numbers (8:5:1). Converting units and simplifying ratios is the gap.
Chhendipada,Grade 8,English,6,41,A,B,Where does a sea turtle begin its life?,Children think a sea turtle's life begins in the ocean; it actually hatches on the beach. A read-from-text slip.
Chhendipada,Grade 8,SST,11,40,A,B,"୧୮୦୦ ଦଶକରେ, କାରିଗରମାନେ କୁଶଳୀ ହୋଇଥିଲେ ମଧ୍ୟ ଅନେକ ଭାରତୀୟ ହସ୍ତତନ୍ତ/ହସ୍ତଶିଳ୍ପ କେନ୍ଦ୍ର ସଙ୍କୁଚିତ ହେବାକୁ ଲାଗିଲା । କେଉଁ କାରଣ ଏହି ଅବନତିକୁ ସର୍ବୋତ୍ତମ ବ୍ୟାଖ୍ୟା କରେ?","Children blamed higher taxes; the main cause was cheap, plentiful British mill-made cloth out-competing Indian handlooms."
Kaniha,Grade 8,Odia,12,53,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Kaniha,Grade 5,EVS,12,52,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Kaniha,Grade 8,Science,14,46,A,B,ନିମ୍ନରେ ଥିବା ଦୂରତା-ସମୟ ଗ୍ରାଫ୍ ଜଣେ ସାଇକେଲ ଚାଳକଙ୍କ ଗତିକୁ ଦର୍ଶାଏ । 4 ରୁ 6 ସେକେଣ୍ଡ ମଧ୍ୟରେ ସମତଳ ଭୂସମାନ୍ତର ରେଖା କ'ଣ ପ୍ରତିନିଧିତ୍ୱ କରେ?,A flat line on a distance-time graph was read as 'moving at a steady speed'. A flat line there means the cyclist has stopped.
Kaniha,Grade 8,SST,4,40,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Kaniha,Grade 8,Odia,14,43,C,B,"ଲେଖା ଆଧାରରେ, ସବୁଠାରୁ ଯୁକ୍ତିସଙ୍ଗତ ମତ କେଉଁଟି?","Children chose a general fairness statement over the inference the passage supports, that protected forest area stays too low even as forest cover rises."
Kishore Nagar,Grade 5,EVS,12,59,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Kishore Nagar,Grade 8,Odia,12,50,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Kishore Nagar,Grade 8,Odia,8,44,B,A,“କଲମର କାହାଣୀ” ଅନୁଛେଦ ଦ୍ୱାରା ମାନବ ପ୍ରଗତି ବିଷୟରେ କେଉଁ ବିଶାଳ ଧାରଣାକୁ ଉଦ୍ଧାର କରାଯାଇଛି?,"Children picked an absolute statement (new technology fully replaces the old) over the passage's nuanced idea that steady, ongoing innovation keeps improving life."
Kishore Nagar,Grade 8,SST,4,44,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Kishore Nagar,Grade 8,Science,5,43,D,A,ଜଣେ ଛାତ୍ର ଏକ ପରୀକ୍ଷଣ ବ୍ୟବହାର କରି ଯାଞ୍ଚ କରିବାକୁ ଚାହାଁନ୍ତି ଯେ ଏକ ସବୁଜ ପତ୍ର କ୍ଲୋରୋଫିଲ୍ ସାହାଯ୍ୟରେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରିଛି କି ନାହିଁ । କେଉଁଟି ସୋପାନଗୁଡ଼ିକର ସଠିକ୍ କ୍ରମ ଅଟେ?,"Children picked 'keep it in sunlight', confusing the plant's need for light with the starch-test procedure, which begins by boiling the leaf."
Kishore Nagar,Grade 8,English,12,38,B,C,Which home action best mirrors banning old polluting vehicles?,"Children chose a generally 'green' action rather than the true parallel to scrapping old polluting vehicles, which is replacing old devices with energy-saving ones."
Kishore Nagar,Grade 8,Odia,13,41,C,D,ଏହି ଅନୁଛେଦର ଲେଖନ ଶୈଳୀ କେଉଁଟି?,Children labelled an informative (expository) passage as nature-description. Identifying the type of writing is the gap.
Kishore Nagar,Grade 8,Odia,3,41,B,C,ମମତା ପ୍ରଥମ ସ୍ଥାନ ନ ପାଇ ମଧ୍ୟ ଗାଁ ଲୋକେ ମମତା ଓ ଅରୁଣକୁ କାହିଁକି ପ୍ରଶଂସା ଦେଲେ?,"Children chose the literal 'they finished together' over the reason the villagers praised them, Arun's cooperation in helping Mamta. Reading for the why, not just the what."
Palalahada,Grade 8,Odia,12,47,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Palalahada,Grade 5,EVS,12,44,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Palalahada,Grade 8,SST,4,36,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Palalahada,Grade 8,Science,14,35,A,B,ନିମ୍ନରେ ଥିବା ଦୂରତା-ସମୟ ଗ୍ରାଫ୍ ଜଣେ ସାଇକେଲ ଚାଳକଙ୍କ ଗତିକୁ ଦର୍ଶାଏ । 4 ରୁ 6 ସେକେଣ୍ଡ ମଧ୍ୟରେ ସମତଳ ଭୂସମାନ୍ତର ରେଖା କ'ଣ ପ୍ରତିନିଧିତ୍ୱ କରେ?,A flat line on a distance-time graph was read as 'moving at a steady speed'. A flat line there means the cyclist has stopped.
Palalahada,Grade 8,Odia,8,36,B,A,“କଲମର କାହାଣୀ” ଅନୁଛେଦ ଦ୍ୱାରା ମାନବ ପ୍ରଗତି ବିଷୟରେ କେଉଁ ବିଶାଳ ଧାରଣାକୁ ଉଦ୍ଧାର କରାଯାଇଛି?,"Children picked an absolute statement (new technology fully replaces the old) over the passage's nuanced idea that steady, ongoing innovation keeps improving life."
Palalahada,Grade 8,English,12,35,B,C,Which home action best mirrors banning old polluting vehicles?,"Children chose a generally 'green' action rather than the true parallel to scrapping old polluting vehicles, which is replacing old devices with energy-saving ones."
Palalahada,Grade 8,Science,5,37,D,A,ଜଣେ ଛାତ୍ର ଏକ ପରୀକ୍ଷଣ ବ୍ୟବହାର କରି ଯାଞ୍ଚ କରିବାକୁ ଚାହାଁନ୍ତି ଯେ ଏକ ସବୁଜ ପତ୍ର କ୍ଲୋରୋଫିଲ୍ ସାହାଯ୍ୟରେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରିଛି କି ନାହିଁ । କେଉଁଟି ସୋପାନଗୁଡ଼ିକର ସଠିକ୍ କ୍ରମ ଅଟେ?,"Children picked 'keep it in sunlight', confusing the plant's need for light with the starch-test procedure, which begins by boiling the leaf."
Talachera,Grade 8,Odia,12,53,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Talachera,Grade 8,SST,4,52,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Talachera,Grade 8,Maths,2,41,C,A,"ଜଣେ ଶିକ୍ଷକଙ୍କର ୫ ଟି ଭିନ୍ନ ଭିନ୍ନ କାର୍ଡ ଅଛି: ♠ A, ♠2, ♠3, ♠4, ଏବଂ ♠5 ନିମ୍ନରେ ଦର୍ଶାଯାଇଛି । ସେ ବୋର୍ଡରେ ଗୋଟିଏ ଧାଡିରେ ଏହି କାର୍ଡଗୁଡ଼ିକ ମଧ୍ୟରୁ ୩ ଟି ସଜାଇବାକୁ ଚାହୁଁଛନ୍ତି। କେତୋଟି ଭିନ୍ନ ବ୍ୟବସ୍ଥା ସମ୍ଭବ ହେବ?","Children counted combinations instead of permutations, ignoring that the order of the cards matters."
Talachera,Grade 5,EVS,12,42,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Talachera,Grade 8,English,12,39,B,C,Which home action best mirrors banning old polluting vehicles?,"Children chose a generally 'green' action rather than the true parallel to scrapping old polluting vehicles, which is replacing old devices with energy-saving ones."
Talachera,Grade 8,Odia,8,39,B,A,“କଲମର କାହାଣୀ” ଅନୁଛେଦ ଦ୍ୱାରା ମାନବ ପ୍ରଗତି ବିଷୟରେ କେଉଁ ବିଶାଳ ଧାରଣାକୁ ଉଦ୍ଧାର କରାଯାଇଛି?,"Children picked an absolute statement (new technology fully replaces the old) over the passage's nuanced idea that steady, ongoing innovation keeps improving life."
Talachera,Grade 8,English,5,31,A,B,Which event in the story shows the consequence of greed?,"Children chose the spilling of the honey pot (the trigger) over the real consequence of greed, the flies overindulging and getting trapped."
Talachera,Grade 8,Science,5,34,D,A,ଜଣେ ଛାତ୍ର ଏକ ପରୀକ୍ଷଣ ବ୍ୟବହାର କରି ଯାଞ୍ଚ କରିବାକୁ ଚାହାଁନ୍ତି ଯେ ଏକ ସବୁଜ ପତ୍ର କ୍ଲୋରୋଫିଲ୍ ସାହାଯ୍ୟରେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରିଛି କି ନାହିଁ । କେଉଁଟି ସୋପାନଗୁଡ଼ିକର ସଠିକ୍ କ୍ରମ ଅଟେ?,"Children picked 'keep it in sunlight', confusing the plant's need for light with the starch-test procedure, which begins by boiling the leaf."
Talachera,Grade 8,English,6,48,A,B,Where does a sea turtle begin its life?,Children think a sea turtle's life begins in the ocean; it actually hatches on the beach. A read-from-text slip.
Talachera,Grade 8,Science,11,36,C,B,ଜଣେ ଡ୍ରାଇଭର ରାସ୍ତା ଉପରେ ଥିବା ପାଣିର ଖାଲରୁ ସୂର୍ଯ୍ୟର ଆଲୋକ ପ୍ରତିଫଳିତ ହେଉଥିବା ଦେଖିଲେ। ଏହି ପ୍ରତିଫଳନ କେଉଁ ନିୟମ ଦ୍ୱାରା ବ୍ୟାଖ୍ୟା ହୁଏ?,"Children chose 'light scatters in all directions' over the law of reflection, that the angle of incidence equals the angle of reflection."
